STFID Label,STFID Number,County,Census Tract,Block Group Single Digit,Block Group ID,X Centroid,Y Centroid,Population,Age Under 5 Years,Age 5 to 9 Years,Age 10 to 14 Years,Age 15 to 19 Years,Age 20 to 24 Years,Age 25 to 34 Years,Age 35 to 44 Years,Age 45 to 54 Years,Age 55 to 64 Years,Age 65 to 74 Years,Age 75 Years or Older,% Age Under 5 Years,% Age 5 to 9 Years,% Age 10 to 14 Years,% Age 15 to 19 Years,% Age 20 to 24 Years,% Age 25 to 34 Years,% Age 35 to 44 Years,% Age 45 to 54 Years,% Age 55 to 64 Years,% Age 65 to 74 Years,% Age 75 Years or Older,Median Age,Children 5 to 17 Years Old,% Children 5 to 17 Years Old,Whites,African Americans,Native Americans,Asians,Pacific Islanders,Persons of Other Races,Persons of More than One Race,% Whites,% African Americans,% Native Americans,% Asians,% Pacific Islanders,% Persons of Other Races,% Persons of More than One Race,Hispanics of Any Race,% Hispanics of Any Race,Minority Persons,% Minority Persons,Households,Married Couples With Own Children Under 18,Married Couples Without Own Children Under 18,Female Householder With No Husband With Own Children Under 18,Female Householder With No Husband Without Own Children Under 18,Male Householder With No Wife With Own Children Under 18,Male Householder With No Wife Without Own Children Under 18,Non-Family Households,% Married Couples With Own Children Under 18,% Married Couples Without Own Children Under 18,% Female Householder With No Husband With Own Children Under 18,% Female Householder With No Husband Without Own Children Under 18,% Male Householder With No Wife With Own Children Under 18,% Male Householder With No Wife Without Own Children Under 18,% Non-Family Households,Average Persons per Household,Persons 16 or Older in Labor Force,Persons 16 or Older Not in Labor Force,% Persons 16 or Older Not in Labor Force,Persons in Labor Force and Employed,Persons in Labor Force and Unemployed,% of Labor Force Unemployed,Persons 25 or Older with Less than High School Diploma,Persons 25 or Older with High School Diploma and Less than BA Degree,Persons 25 or Older with BA Degree or Higher,% Persons 25 or Older with Less than High School Diploma,% Persons 25 or Older with High School Diploma and Less than BA Degree,% Persons 25 or Older with BA Degree or Higher,Median Household Income,Persons Below Poverty Level,% Persons Below Poverty Level,Housing Units,Single Family Units,Multifamily Units,% Single Family Units,% Multifamily Units,Units Built Before 1940,Units Built 1940 to 1949,Units Built 1950 to 1959,Units Built 1960 to 1969,Units Built 1970 to 1979,Units Built 1980 to 1989,Units Built 1990 to 1999,Units Built 2000 to 2010,% Units Built Before 1940,% Units Built 1940 to 1949,% Units Built 1950 to 1959,% Units Built 1960 to 1969,% Units Built 1970 to 1979,% Units Built 1980 to 1989,% Units Built 1990 to 1999,% Units Built 2000 to 2010,Median Home Value,Owner-Occupied Units,Renter-Occupied Units,% Owner-Occupied Units,% Renter-Occupied Units,Vacant Units,% Vacant Units,Location 1
"* 290,959,808,021","290,959,808,021",Jackson,"9,808.02",1,9808.02-1,"2,792,499","1,049,142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,100,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,"Missouri
(38.63578999960896, -92.5663000000448)"
"* 290,470,211,026","290,470,211,026",Clay,211.02,6,211.02-6,"2,778,786","1,110,619",768,64,45,48,41,56,122,100,94,101,60,37,8.3,5.9,6.3,5.3,7.3,15.9,13,12.2,13.2,7.8,4.8,35.8,134,17.4,606,69,8,18,20,11,36,78.9,9,1,2.3,2.6,1.4,4.7,41,5.3,182,23.7,327,42,83,42,22,8,7,123,12.8,25.4,12.8,6.7,2.4,2.1,37.6,2.35,418,184,30.6,380,39,9.2,81,250,457,10.3,31.7,58,"77,412.00",59,7.7,350,254,96,72.5,27.5,0,0,31,120,57,95,0,47,0,0,8.9,34.2,16.4,27.1,0,13.4,"127,652.00",202,125,61.8,38.2,23,6.6,"Missouri
(38.63578999960896, -92.5663000000448)"
"* 290,959,801,011","290,959,801,011",Jackson,"9,801.01",1,9801.01-1,"2,782,400","1,031,231",8,0,1,1,2,0,0,0,3,1,0,0,0,12.5,12.5,25,0,0,0,37.5,12.5,0,0,45,4,50,0,8,0,0,0,0,0,0,100,0,0,0,0,0,0,0,8,100,2,2,0,0,0,0,0,0,100,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,457,0,0,100,0.00,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2,0,100,0,0,"Missouri
(38.63578999960896, -92.5663000000448)"
"* 290,470,202,013","290,470,202,013",Clay,202.01,3,202.01-3,"2,769,172","1,090,066","1,335",123,97,104,103,130,260,206,135,93,44,40,9.2,7.3,7.8,7.7,9.7,19.5,15.4,10.1,7,3.3,3,29.3,304,22.8,730,199,10,259,27,53,57,54.7,14.9,0.7,19.4,2,4,4.3,115,8.6,653,48.9,491,109,84,51,38,13,22,174,22.2,17.1,10.4,7.7,2.6,4.5,35.4,2.72,714,276,27.9,671,43,6,153,445,457,14.5,42.2,43.3,"43,704.00",213,16,553,403,150,72.9,27.1,83,48,97,43,105,68,49,60,15,8.7,17.5,7.9,19,12.2,8.9,10.8,"100,543.00",170,321,34.6,65.4,62,11.2,"Missouri
(38.63578999960896, -92.5663000000448)"
"* 290,950,075,003","290,950,075,003",Jackson,75,3,75-3,"2,768,636","1,042,853","1,144",21,12,23,427,426,61,47,48,43,18,18,1.8,1,2,37.3,37.2,5.3,4.1,4.2,3.8,1.6,1.6,21,462,40.4,824,192,10,17,0,76,25,72,16.8,0.9,1.5,0,6.6,2.2,62,5.4,349,30.5,180,10,14,15,17,1,3,120,5.6,7.8,8.3,9.4,0.6,1.7,66.7,2.39,633,370,36.9,550,83,13.1,0,152,457,0,25,75,"40,833.00",446,39,234,192,42,81.9,18.1,146,0,0,70,0,0,0,18,62.6,0,0,29.8,0,0,0,7.6,"133,036.00",73,107,40.6,59.4,54,23.1,"Missouri
(38.63578999960896, -92.5663000000448)"
"* 290,950,152,001","290,950,152,001",Jackson,152,1,152-1,"2,759,998","1,068,163","1,727",43,17,18,22,242,756,310,192,110,11,6,2.5,1,1,1.3,14,43.8,18,11.1,6.4,0.6,0.3,31.9,57,3.3,"1,334",265,8,33,1,35,51,77.2,15.3,0.5,1.9,0.1,2,3,83,4.8,428,24.8,"1,015",18,111,26,13,15,14,818,1.8,10.9,2.6,1.3,1.5,1.4,80.6,1.41,"1,110",535,32.5,"1,031",79,7.1,127,564,457,11.1,49.1,39.8,"42,237.00",300,17.4,"1,110",44,"1,066",3.9,96.1,653,42,53,20,9,54,26,255,58.8,3.8,4.7,1.8,0.8,4.8,2.3,23,"233,203.00",186,829,18.3,81.7,95,8.6,"Missouri
(38.63578999960896, -92.5663000000448)"
"* 290,370,603,051","290,370,603,051",Cass,603.05,1,603.05-1,"2,795,096","948,984","4,416",329,385,423,317,127,513,777,624,412,304,205,7.5,8.7,9.6,7.2,2.9,11.6,17.6,14.1,9.3,6.9,4.6,36.5,"1,125",25.5,"3,887",362,28,35,1,26,77,88,8.2,0.6,0.8,0,0.6,1.7,154,3.5,639,14.5,"1,548",555,514,77,61,23,17,301,35.9,33.2,5,3.9,1.5,1.1,19.4,2.85,"2,202","1,013",31.5,"2,071",131,6,64,"1,960",457,2.6,79,18.4,"80,579.00",412,9.3,"1,592","1,592",0,100,0,21,0,0,0,20,22,489,"1,040",1.3,0,0,0,1.3,1.4,30.7,65.3,"183,018.00","1,494",54,96.5,3.5,44,2.8,"Missouri
(38.63578999960896, -92.5663000000448)"
"* 290,950,134,011","290,950,134,011",Jackson,134.01,1,134.01-1,"2,774,793","996,195","1,349",121,89,85,91,112,239,156,201,132,80,43,9,6.6,6.3,6.7,8.3,17.7,11.6,14.9,9.8,5.9,3.2,32.4,265,19.6,574,471,3,30,0,201,70,42.6,34.9,0.2,2.2,0,14.9,5.2,342,25.4,891,66,483,88,127,46,37,17,22,146,18.2,26.3,9.5,7.7,3.5,4.6,30.2,2.79,768,268,25.9,638,130,16.9,172,539,457,14.7,46.1,39.1,"36,000.00",397,29.4,600,320,280,53.3,46.7,0,29,84,203,196,10,55,24,0,4.8,13.9,33.8,32.6,1.7,9.1,4,"135,294.00",264,219,54.7,45.3,117,19.5,"Missouri
(38.63578999960896, -92.5663000000448)"
"* 290,950,182,001","290,950,182,001",Jackson,182,1,182-1,"2,797,910","987,244","3,225",328,428,351,209,68,404,768,425,143,77,24,10.2,13.3,10.9,6.5,2.1,12.5,23.8,13.2,4.4,2.4,0.7,30.7,988,30.6,"2,696",356,6,59,2,36,70,83.6,11,0.2,1.8,0.1,1.1,2.2,122,3.8,599,18.6,984,552,191,54,17,17,15,138,56.1,19.4,5.5,1.7,1.7,1.5,14,3.28,"1,744",333,16,"1,719",25,1.4,21,808,457,1.6,62.9,35.5,"110,923.00",56,1.7,"1,004","1,004",0,100,0,11,0,15,15,47,17,22,878,1.1,0,1.5,1.5,4.6,1.7,2.2,87.4,"255,527.00",944,40,95.9,4.1,20,2,"Missouri
(38.63578999960896, -92.5663000000448)"
"* 290,470,213,091","290,470,213,091",Clay,213.09,1,213.09-1,"2,794,762","1,125,241","3,995",343,500,441,253,127,356,894,583,319,132,47,8.6,12.5,11,6.3,3.2,8.9,22.4,14.6,8,3.3,1.2,34.4,"1,194",29.9,"3,586",125,4,206,1,21,52,89.8,3.1,0.1,5.2,0,0.5,1.3,129,3.2,514,12.9,"1,287",632,320,58,20,21,8,228,49.1,24.9,4.5,1.6,1.6,0.6,17.7,3.1,"2,098",563,21.2,"1,964",134,6.4,10,932,457,0.7,66.7,32.6,"128,810.00",38,0.9,"1,363","1,121",242,82.2,17.8,0,9,0,8,0,0,170,"1,176",0,0.7,0,0.6,0,0,12.4,86.3,"363,667.00",995,292,77.3,22.7,76,5.6,"Missouri
(38.63578999960896, -92.5663000000448)"
