"Label (Grouping)","Kansas City city, Missouri!!Households!!Estimate","Kansas City city, Missouri!!Households!!Margin of Error","Kansas City city, Missouri!!Families!!Estimate","Kansas City city, Missouri!!Families!!Margin of Error","Kansas City city, Missouri!!Married-couple families!!Estimate","Kansas City city, Missouri!!Married-couple families!!Margin of Error","Kansas City city, Missouri!!Nonfamily households!!Estimate","Kansas City city, Missouri!!Nonfamily households!!Margin of Error"
"Total","209,768","±4,049","109,436","±3,773","74,929","±3,609","100,332","±4,912"
"    Less than $10,000","7.5%","±1.0","4.9%","±1.3","1.1%","±0.6","11.1%","±1.6"
"    $10,000 to $14,999","4.5%","±0.8","2.1%","±0.7","0.8%","±0.6","7.2%","±1.5"
"    $15,000 to $24,999","10.2%","±1.1","6.7%","±1.7","4.6%","±1.8","14.0%","±1.6"
"    $25,000 to $34,999","9.2%","±1.1","6.5%","±1.3","3.6%","±1.0","12.4%","±1.7"
"    $35,000 to $49,999","14.5%","±1.2","14.0%","±1.5","10.9%","±1.9","16.0%","±2.1"
"    $50,000 to $74,999","16.9%","±1.2","16.5%","±1.8","15.8%","±1.9","16.6%","±1.8"
"    $75,000 to $99,999","12.3%","±1.2","14.3%","±1.7","16.5%","±2.2","9.8%","±1.5"
"    $100,000 to $149,999","14.9%","±1.3","20.6%","±2.0","26.4%","±2.6","8.1%","±1.4"
"    $150,000 to $199,999","5.2%","±0.7","7.4%","±1.3","10.2%","±1.8","2.5%","±0.8"
"    $200,000 or more","5.0%","±0.6","7.1%","±1.1","10.2%","±1.5","2.2%","±0.6"
"Median income (dollars)","55,259","±2,228","72,775","±5,772","93,775","±4,534","40,284","±1,982"
"Mean income (dollars)","75,118","±2,277","91,496","±3,522","111,551","±4,715","54,754","±3,012"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","33.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","34.9%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","30.4%","(X)"
